priority,package name,(category),description,aur package (y/n)
1,git,(needed)
1,nano,(needed)
1,kitty,(needed)
2,hyprland,(desktop environment)
2,ly,(desktop environment)
2,waybar,(desktop environment)
2,rofi-lbonn-wayland-only-git,(desktop environment)
2,hyprlock,(desktop environment)
3,polkit-kde-agent,(must have)
3,pipewire-pulse,(must have)
3,swaync,(must have)
3,copyq,(must have)
4,hyprshot,(configured utilities)
4,hyprshade,(configured utilities)
4,hyprpicker,(configured utilities)
5,swaybg,(visual)
5,python-pywal,(visual)
6,nautilus,(files)
6,gvfs,(files)
6,imv,(files)
6,mpv,(files)
7,less,(utility)
7,btop,(utility)
7,bluetuith,(utility)
8,cava,(extra)
8,era-bin,(extra)
8,catnap-git,(extra)
